timestamp,event_type,event_id,message,parser
2023-12-26T00:37:46.354022+00:00,SystemEvent,,[271 / 0x010f] Provider identifier: {89592015-d996-4636-8f61-066b5d4dd739} Source Name: Microsoft-Windows-StateRepository Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 1828 Event Level: 5,winevtx
2023-12-26T00:37:46.354022+00:00,SystemEvent,,[271 / 0x010f] Provider identifier: {89592015-d996-4636-8f61-066b5d4dd739} Source Name: Microsoft-Windows-StateRepository Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 1828 Event Level: 5,winevtx
2023-12-26T00:37:46.396100+00:00,SystemEvent,,[10000 / 0x2710] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8858 Event Level: 5,winevtx
2023-12-26T00:37:46.396100+00:00,SystemEvent,,[10000 / 0x2710] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8858 Event Level: 5,winevtx
2023-12-26T00:37:46.451321+00:00,SystemEvent,,[5505 / 0x1581] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\S-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-0.pri'  ,winevtx
2023-12-26T00:37:46.451321+00:00,SystemEvent,,[5505 / 0x1581] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\S-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-0.pri'  ,winevtx
2023-12-26T00:37:47.599703+00:00,SystemEvent,,[39 / 0x0027] Provider identifier: {f1ef270a-0d32-4352-ba52-dbab41e1d859} Source Name: Microsoft-Windows-AppModel-Runtime Strings: ['Microsoft.WebMediaExtensions_8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 350 Event Level: 4,winevtx
2023-12-26T00:37:47.599703+00:00,SystemEvent,,[39 / 0x0027] Provider identifier: {f1ef270a-0d32-4352-ba52-dbab41e1d859} Source Name: Microsoft-Windows-AppModel-Runtime Strings: ['Microsoft.WebMediaExtensions_8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 350 Event Level: 4,winevtx
2023-12-26T00:37:47.633957+00:00,SystemEvent,,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{0F6DE2E5-7715-4DF1-9FB3-7678C9512FF9}'  '@{Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WebMediaExtensions/Resources/AppStoreName}'  '1'  ''  ''  '1'  '256'  ''  ''  '2'  '2147483647'  '*'  '*'  ''  '' ,winevtx
2023-12-26T00:37:47.633957+00:00,SystemEvent,,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{0F6DE2E5-7715-4DF1-9FB3-7678C9512FF9}'  '@{Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WebMediaExtensions/Resources/AppStoreName}'  '1'  ''  ''  '1'  '256'  ''  ''  '2'  '2147483647'  '*'  '*'  ''  '' ,winevtx
